Name_A2;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Armenia;3544849;3753522;3860057;4001734;4143468;4254619;4323130;4364069;4404121;4446796;4466462;4464341;4456248;4604818;4782219;4978434;5183948;5391763;5608517;5835253;6075661;6317736;6556906
Azerbaijan;7175500;7648871;8218981;8812113;9389258;9970562;10525087;11054265;11548659;12023797;12490750;12978259;13474268;13992054;14600626;15228003;15848401;16464347;17120170;17802665;18509821;19204992;19887292
Belarus;10260128;10309317;10395454;10543806;10706927;10831115;10925135;11042196;11224547;11480489;11773645;12064325;12364000;12811341;13315397;13862186;14434982;15021330;15619625;16223787;16857536;17502386;18145368
Estonia;1571166;1482390;1423075;1390611;1364644;1331049;1291872;1253607;1221797;1199421;1182334;1166511;1151606;1193244;1240891;1292170;1344824;1398703;1454034;1509450;1567333;1626366;1685381
Georgia;5460227;5345583;5383837;5439549;5433097;5381463;5300973;5220537;5151043;5085618;5012101;4940165;4876851;5062123;5268768;5482718;5703393;5931511;6168194;6409216;6658984;6910385;7161304
Kazakhstan;16742698;16576161;16587346;17079811;17804360;18694809;19497754;20334433;21324461;22416475;23430786;24361491;25321411;26350963;27486604;28670576;29897418;31148351;32390644;33604292;34851586;36107391;37352425
Kyrgyzstan;4394683;4548553;5075414;5668835;6287670;6949098;7630904;8373230;9187172;10058820;10939311;11843223;12812639;13363002;13967600;14578980;15187723;15803955;16427676;17037638;17659457;18277559;18889048
Latvia;2670780;2512487;2467489;2478428;2481894;2474120;2458057;2442705;2436871;2450756;2482092;2523524;2571513;2661356;2766956;2882405;2999000;3116267;3238501;3363694;3495652;3629237;3762151
Lithuania;3722504;3699286;3773859;3860955;3909373;3943419;3976553;4015772;4064602;4125337;4198229;4285653;4385937;4549714;4738941;4932589;5122777;5318706;5529936;5748869;5975013;6199961;6424503
Republic of Moldova;4364132;4340844;4392452;4500114;4628422;4763295;4875323;4985845;5107570;5250018;5399320;5554763;5717890;5933051;6175837;6435903;6707961;6985653;7265032;7543769;7834811;8130076;8422788
Russian Federation;148297886;148193609;148492452;148639174;149019876;148861386;148210623;147555611;147493440;148287891;149394500;150824142;152633241;157977585;163995905;170664003;177784634;185142520;192587980;200086776;207994146;216111545;224200056
Tajikistan;5303369;5715710;6301470;6905324;7634263;8571007;9598023;10729524;11946334;13207034;14455450;15726398;17087859;17829910;18653484;19483167;20299369;21120822;21956210;22775422;23606237;24425834;25232222
Turkmenistan;3668153;4196310;4908036;5758263;6622752;7452902;8304122;9290079;10416747;11608255;12765701;13916202;15146572;15821925;16542453;17263414;17992410;18735776;19484337;20204205;20929582;21650300;22366547
Ukraine;51893616;51580484;50654555;49855517;49066706;48178092;47205132;46303909;45586858;45089321;44697735;44337112;43980790;45555352;47353926;49262336;51242983;53325020;55493142;57699935;59992950;62313395;64637041
Uzbekistan;20516107;22683673;25652523;29711666;34017889;38422630;42798223;47552686;53005412;58998004;64975458;70909426;77184324;80505152;84135431;87849045;91589368;95335773;99066443;102673245;106362747;110044900;113687928
Argentina;32381293;34989150;37780746;40657308;43584046;46616064;49779966;53177171;56790290;60641637;64576761;68583803;72652417;76706864;80816858;84957564;89164310;93391383;97597712;101782226;106023164;110299072;114619180
Bahamas;254064;284383;310027;335543;360817;388221;417065;447530;479006;511529;543960;576282;608559;642853;677422;712317;747127;782253;817415;852563;888075;923728;959789
Barbados;256017;263972;272594;280010;286872;293821;301160;308098;313906;318463;321092;322386;322952;341964;361148;380508;399876;419787;439994;460439;481132;501904;522898
Belize;184884;203401;230863;259434;286427;313697;343443;375104;407786;441088;473975;506691;539304;569194;599638;630408;661384;692517;723537;754373;785565;816938;848596
Bolivia;6543289;7440076;8515472;9650243;10850687;12161911;13533901;14967508;16425368;17904732;19448100;21022561;22600184;23842899;25107713;26378864;27655595;28939524;30212669;31471241;32740838;34017900;35307833
Brazil;147293745;160127664;173376325;188356597;204154527;219735626;235363122;251704202;268951252;287063648;305114182;323035591;341218554;360021548;379181324;398634449;418311363;438063500;457697375;477205439;496960134;516893224;537054556
Chile;13040785;14278500;15504046;16676305;17833368;19096148;20440073;21849471;23276524;24746345;26224397;27733683;29290942;30940080;32618477;34297522;35976901;37672399;39376586;41080663;42801370;44527632;46270598
Colombia;34812873;38665490;42923882;47249870;51854782;56671010;61762848;67066644;72547731;78014441;83533577;89113312;94766717;100059701;105424503;110817019;116241864;121693329;127150776;132576439;138054770;143563201;149130521
Costa Rica;3035097;3568597;4102008;4615645;5125250;5636054;6167130;6711288;7269724;7840899;8419000;9000589;9585613;10117269;10660193;11207947;11759213;12310803;12862367;13412529;13969262;14529022;15093825
Cuba;10581013;11033715;11409266;11695337;11949524;12220549;12486331;12728471;12949400;13131354;13263229;13333560;13376694;14160747;14963478;15757911;16538827;17352756;18192642;19042495;19887845;20733319;21589943
Dominican Republic;7029209;7725295;8531959;9343290;10128270;10886805;11628160;12374853;13120540;13908420;14695016;15476756;16259350;17150618;18061293;18983571;19906700;20833854;21757659;22674276;23600598;24533367;25476638
Ecuador;10217755;11498641;12894731;14311396;15718524;17145800;18626962;20150766;21729916;23348880;24953571;26546238;28132663;29695571;31284414;32889831;34509688;36142031;37769135;39384391;41016994;42661334;44322890
El Salvador;5088626;5687950;6406551;7141982;7882547;8637513;9417161;10234241;11081610;11971678;12863677;13749457;14622829;15432354;16251570;17074927;17912518;18758032;19596402;20424199;21260805;22105238;22960391
Guadeloupe;388951;410269;435874;459183;479772;498357;516656;534385;551021;566500;579153;589329;597471;632910;668400;703800;739213;775726;812468;849445;886816;924398;962469
Guatemala;8709780;10002717;11657412;13531064;15576119;17743852;20038018;22469336;24984971;27577872;30158104;32829863;35543484;37479802;39451502;41436910;43429077;45422902;47394561;49341926;51307240;53283731;55277852
Guyana;728213;745592;775064;798863;813166;818164;817873;815303;811368;805472;793424;774348;749426;791543;833299;876037;919643;963928;1008014;1051744;1095919;1140614;1186138
Haiti;6875621;7543219;8315416;9152915;10069084;11048610;12076019;13142590;14222132;15318972;16406056;17475550;18564029;19563908;20596522;21640133;22683956;23722452;24749323;25766939;26796558;27832268;28875621
Honduras;4848294;5641569;6561109;7496410;8456876;9454115;10496789;11594367;12706083;13840385;15001586;16174707;17338633;18286815;19253613;20226947;21204738;22185965;23159284;24121264;25091396;26067264;27052827
Jamaica;2358282;2477708;2625673;2802716;2998296;3219855;3472806;3741393;4021813;4314109;4607224;4900044;5191545;5482082;5777003;6075437;6375382;6676612;6977393;7277749;7582099;7888078;8196943
Martinique;358688;373466;390286;408562;423032;436336;448944;462102;475112;487733;498629;507750;515569;546262;577239;608089;638848;670401;702432;734747;767357;800099;833256
Mexico;82849890;91335277;100753619;110236720;119629143;129069878;138621153;148432795;158559585;168919612;179003783;188783603;198276189;209361035;220601271;231902577;243330087;254941934;266523081;278004141;289604703;301301910;313149186
Netherlands Antilles;186891;205730;219052;232742;245539;258014;269982;281460;292448;303035;313012;322616;331984;351092;370450;389986;409618;429439;449247;469203;489469;509791;530239
Nicaragua;3806548;4437919;5189856;6024392;6902745;7843761;8835776;9873384;10944175;12037994;13169592;14321427;15472492;16320103;17179584;18049383;18921463;19795907;20662301;21519190;22384193;23254298;24132983
Panama;2386780;2642460;2911609;3179837;3446516;3718894;3998253;4286216;4579194;4877298;5168866;5455322;5739547;6060020;6386283;6714866;7045408;7380399;7716137;8049998;8386897;8725855;9068741
Paraguay;4199833;4845038;5618158;6460523;7384875;8396176;9472376;10612356;11793275;12992249;14130214;15331521;16573072;17478623;18403198;19336008;20267796;21200243;22126188;23043647;23970150;24900686;25838055
Peru;21472576;23615447;26153187;28801380;31483913;34245137;37116593;40127455;43217051;46380195;49510926;52607024;55668839;58761585;61913028;65093958;68306892;71543564;74769851;77976306;81218104;84483200;87781194
Suriname;399806;409962;424176;445975;463366;478063;492384;506609;521715;537285;550274;560339;567778;599568;631918;665565;699143;733079;767201;801417;835881;870526;905538
Trinidad and Tobago;1209738;1266945;1313867;1367539;1424100;1480985;1536568;1585583;1627222;1665131;1698151;1726439;1746774;1845358;1946737;2052165;2158096;2263728;2369212;2476378;2585930;2696362;2807333
