YY	MM	DD	HH	"1"	"2"
routed discharge [mm per subbasi] routing_model
2001	 3	24	24	6.13578	6.66855
2001	 3	25	24	7.19958	9.83740
2001	 3	26	24	6.57187	9.63714
2001	 3	27	24	5.43044	7.74242
2001	 3	28	24	4.50018	6.34158
2001	 3	29	24	3.74045	5.31659
2001	 3	30	24	3.17822	4.54548
2001	 3	31	24	2.75323	4.06173
2001	 4	 1	24	2.39201	3.54788
2001	 4	 2	24	2.08305	3.10947
2001	 4	 3	24	1.82245	2.74771
2001	 4	 4	24	1.77003	2.46555
2001	 4	 5	24	1.64474	2.45319
2001	 4	 6	24	1.51183	2.23267
2001	 4	 7	24	1.49871	2.05874
2001	 4	 8	24	1.55495	1.98997
2001	 4	 9	24	1.43815	1.88681
2001	 4	10	24	1.32382	1.75446
2001	 4	11	24	1.22100	1.62888
2001	 4	12	24	1.18222	1.51941
2001	 4	13	24	1.39981	1.48878
2001	 4	14	24	1.67329	1.39669
2001	 4	15	24	2.06308	1.31563
2001	 4	16	24	2.38392	1.24398
2001	 4	17	24	2.26267	1.26123
2001	 4	18	24	2.21986	1.26080
2001	 4	19	24	2.04110	1.33288
2001	 4	20	24	2.12381	1.43715
2001	 4	21	24	2.45508	1.56620
2001	 4	22	24	2.26090	1.50262
2001	 4	23	24	1.96584	1.40700
2001	 4	24	24	1.71933	1.31667
2001	 4	25	24	1.71510	1.27996
2001	 4	26	24	1.55981	1.36699
2001	 4	27	24	1.40754	1.28958
2001	 4	28	24	1.26930	1.21373
2001	 4	29	24	1.16088	1.14646
2001	 4	30	24	1.07070	1.08629
2001	 5	 1	24	0.99645	1.03279
2001	 5	 2	24	0.93655	0.98492
2001	 5	 3	24	1.04785	0.94180
2001	 5	 4	24	3.97825	2.15073
2001	 5	 5	24	4.23071	2.94060
2001	 5	 6	24	3.64603	2.90045
2001	 5	 7	24	3.08706	2.65378
2001	 5	 8	24	2.63976	2.41968
2001	 5	 9	24	2.28973	2.24101
2001	 5	10	24	1.99275	2.04544
2001	 5	11	24	1.73430	1.86893
2001	 5	12	24	1.53580	1.71717
2001	 5	13	24	1.38522	1.59317
2001	 5	14	24	1.26884	1.48970
2001	 5	15	24	1.76761	1.40218
2001	 5	16	24	1.58851	1.45891
2001	 5	17	24	1.47405	1.38522
2001	 5	18	24	1.32825	1.32720
2001	 5	19	24	1.21549	1.26213
2001	 5	20	24	1.12522	1.20143
2001	 5	21	24	1.05324	1.14454
2001	 5	22	24	0.99308	1.09069
2001	 5	23	24	0.94247	1.04009
2001	 5	24	24	0.89947	0.99364
2001	 5	25	24	0.86330	0.95127
2001	 5	26	24	0.83143	0.91249
2001	 5	27	24	0.80352	0.87671
2001	 5	28	24	0.89451	0.85321
2001	 5	29	24	0.91715	1.01263
2001	 5	30	24	0.91264	1.01056
2001	 5	31	24	0.93807	1.05392
2001	 6	 1	24	0.93079	1.12420
2001	 6	 2	24	0.91310	1.10138
2001	 6	 3	24	0.99162	1.26869
2001	 6	 4	24	1.67822	2.22220
2001	 6	 5	24	1.71982	2.34553
2001	 6	 6	24	1.54801	2.06097
2001	 6	 7	24	1.37549	1.82637
2001	 6	 8	24	1.23913	1.64138
2001	 6	 9	24	1.13400	1.49978
2001	 6	10	24	1.07477	1.38653
2001	 6	11	24	1.01801	1.32717
2001	 6	12	24	0.96494	1.24510
2001	 6	13	24	0.91436	1.17158
2001	 6	14	24	0.87200	1.10725
2001	 6	15	24	0.83444	1.04948
2001	 6	16	24	0.80165	0.99681
2001	 6	17	24	0.77417	0.95116
2001	 6	18	24	0.75420	0.90868
2001	 6	19	24	0.73984	0.89126
2001	 6	20	24	0.72114	0.85504
2001	 6	21	24	0.84904	0.82237
2001	 6	22	24	0.87447	0.91800
2001	 6	23	24	0.86439	0.99175
2001	 6	24	24	0.83737	0.95832
2001	 6	25	24	0.79795	0.92269
2001	 6	26	24	0.76330	0.88631
2001	 6	27	24	0.73249	0.85020
2001	 6	28	24	0.70511	0.81683
2001	 6	29	24	0.68244	0.78682
2001	 6	30	24	0.66141	0.75848
2001	 7	 1	24	0.65139	0.77622
2001	 7	 2	24	0.64231	0.75268
2001	 7	 3	24	0.62589	0.72748
2001	 7	 4	24	0.61010	0.70385
2001	 7	 5	24	0.59551	0.68181
2001	 7	 6	24	0.58186	0.66117
2001	 7	 7	24	1.53741	0.95245
2001	 7	 8	24	1.50625	1.20510
2001	 7	 9	24	1.34545	1.16596
2001	 7	10	24	1.17537	1.08761
2001	 7	11	24	1.04252	1.01479
2001	 7	12	24	0.94138	0.95391
2001	 7	13	24	0.86430	0.90253
2001	 7	14	24	0.80302	0.85857
2001	 7	15	24	1.24886	1.01013
2001	 7	16	24	1.61356	1.22849
2001	 7	17	24	1.60267	1.27923
2001	 7	18	24	1.37783	1.19386
2001	 7	19	24	1.19541	1.09482
2001	 7	20	24	1.86271	1.88497
2001	 7	21	24	1.76289	1.98414
2001	 7	22	24	1.53083	1.72465
2001	 7	23	24	1.32205	1.53177
2001	 7	24	24	1.16879	1.37608
2001	 7	25	24	1.04860	1.25416
2001	 7	26	24	0.95582	1.15874
2001	 7	27	24	0.88391	1.07970
2001	 7	28	24	0.82471	1.01401
2001	 7	29	24	0.77624	0.95880
2001	 7	30	24	0.73694	0.91103
2001	 7	31	24	0.70268	0.86782
2001	 8	 1	24	0.67412	0.83033
2001	 8	 2	24	0.64856	0.79487
2001	 8	 3	24	0.62585	0.76309
2001	 8	 4	24	0.60632	0.73434
2001	 8	 5	24	0.58951	0.70780
2001	 8	 6	24	0.57323	0.68329
2001	 8	 7	24	0.55845	0.66086
2001	 8	 8	24	0.54517	0.64009
2001	 8	 9	24	0.53266	0.62088
2001	 8	10	24	0.52135	0.60317
2001	 8	11	24	0.51048	0.58639
2001	 8	12	24	0.50023	0.57067
2001	 8	13	24	0.49056	0.55585
2001	 8	14	24	0.48152	0.54199
2001	 8	15	24	0.47301	0.52876
2001	 8	16	24	0.46467	0.51621
2001	 8	17	24	0.45814	0.50454
2001	 8	18	24	0.46965	0.55310
2001	 8	19	24	1.27054	0.55480
2001	 8	20	24	2.13779	0.95182
2001	 8	21	24	1.77259	1.16001
2001	 8	22	24	1.48027	1.11488
2001	 8	23	24	1.24401	1.02446
2001	 8	24	24	1.07259	0.95802
2001	 8	25	24	0.94909	0.89887
2001	 8	26	24	1.09572	1.46861
2001	 8	27	24	1.15142	1.57068
2001	 8	28	24	1.05271	1.38464
2001	 8	29	24	0.94293	1.23528
2001	 8	30	24	0.85576	1.12025
2001	 8	31	24	0.86243	1.05473
2001	 9	 1	24	2.84552	2.58032
2001	 9	 2	24	2.45171	2.47728
2001	 9	 3	24	2.03082	2.16339
2001	 9	 4	24	1.68071	1.87645
2001	 9	 5	24	1.43341	1.67586
2001	 9	 6	24	1.24991	1.51277
2001	 9	 7	24	1.92930	2.03683
2001	 9	 8	24	2.23076	2.65185
2001	 9	 9	24	3.32745	3.53459
2001	 9	10	24	4.70840	5.30569
2001	 9	11	24	3.86346	4.90824
2001	 9	12	24	3.58189	4.57214
2001	 9	13	24	3.64350	4.73171
2001	 9	14	24	3.14862	4.49266
2001	 9	15	24	2.68503	3.98066
2001	 9	16	24	2.29387	3.47049
2001	 9	17	24	1.99716	3.07032
2001	 9	18	24	1.89086	2.76242
2001	 9	19	24	1.88040	2.87842
2001	 9	20	24	1.89295	2.99167
2001	 9	21	24	1.82051	2.83087
2001	 9	22	24	1.64890	2.56813
2001	 9	23	24	1.52437	2.34933
2001	 9	24	24	1.46009	2.30534
2001	 9	25	24	1.45479	2.22534
2001	 9	26	24	1.35812	2.06398
2001	 9	27	24	1.27961	1.91784
2001	 9	28	24	1.19267	1.79153
2001	 9	29	24	1.11375	1.67471
2001	 9	30	24	1.08990	1.57127
2001	10	 1	24	1.55110	1.55459
2001	10	 2	24	1.47107	1.71186
2001	10	 3	24	2.09854	1.89553
2001	10	 4	24	2.08110	2.19940
2001	10	 5	24	1.84331	2.03037
2001	10	 6	24	1.61267	1.86095
2001	10	 7	24	1.42771	1.71415
2001	10	 8	24	1.28146	1.58962
2001	10	 9	24	1.16586	1.48241
2001	10	10	24	1.07291	1.38778
2001	10	11	24	0.99544	1.30524
2001	10	12	24	0.93160	1.23261
2001	10	13	24	0.87812	1.16770
2001	10	14	24	0.83333	1.10850
2001	10	15	24	0.79386	1.05485
2001	10	16	24	0.75958	1.00623
2001	10	17	24	0.73022	0.96216
2001	10	18	24	0.70367	0.92200
2001	10	19	24	0.68003	0.88524
2001	10	20	24	0.65882	0.85156
