Globalstrahlung [W/m²d] []
YYYY	MM	DD	HH	877	882	720	385	480	227	384	214	385	877
YYYY	MM	DD	HH	4623488.7988	4623101.10891	4621947.43676	4609997.7677	4606797.8645	4623183	4605986	4611169	4610065	4623539
YYYY	MM	DD	HH	5623995.47668	5624003.77103	5629667.1442	5649664.40457	5641616.25068	5667440	5646718	5650845	5648627	5622933
YYYY	MM	DD	HH	RStat1	RStat2	RStat3	RStat4	RStat5	RStat6	RStat7	RStat8	RStat9	RStat10
2000	06	24	24	4479.3650	4496.4	4569.1900	3756.6	9999.0	9999	9999	9999	9999	9999
2000	06	25	24	3878.5529	3714.9	4382.4800	4164.8	9999.0	9999	9999	9999	9999	9999
2000	06	26	24	4309.2859	4082.1	4343.8100	3660.8	9999.0	9999	9999	9999	9999	9999
2000	06	27	24	3867.7489	3612.2	3848.3600	3651.0	9999.0	9999	9999	9999	9999	9999
2000	06	28	24	6362.4119	6181.3	5391.5600	9999.0	9999.0	9999	9999	9999	9999	9999
2000	06	29	24	3697.1170	3535.0	3249.6100	3971.7	9999.0	9999	9999	9999	9999	9999
2000	06	30	24	6705.0600	6381.3	6424.9000	9999.0	9999.0	9999	9999	9999	9999	9999
2000	07	01	24	4828.9400	4719.8	9999.0000	9999.0	9999.0	9999	9999	9999	9999	9999
2000	07	02	24	3937.5500	3752.4	4723.5700	5019.8	9999.0	9999	9999	9999	9999	9999
2000	07	03	24	5484.0440	5484.2	9999.0000	5464.7	9999.0	9999	9999	9999	9999	9999
2000	07	04	24	4625.6209	9999.0	4180.7700	4607.1	9999.0	9999	9999	9999	9999	9999
2000	07	05	24	2419.7592	9999.0	9999.0000	3158.5	9999.0	9999	9999	9999	9999	9999
2000	07	06	24	9999.0000	9999.0	9999.0000	9999.0	9999.0	9999	9999	9999	9999	9999
2000	07	07	24	3636.7320	9999.0	9999.0000	3167.1	9999.0	9999	9999	9999	9999	9999
2000	07	08	24	 958.9740	9999.0	9999.0000	1249.7	9999.0	9999	9999	9999	9999	9999
2000	07	09	24	9999.0000	9999.0	9999.0000	4729.5	9999.0	9999	9999	9999	9999	9999
2000	07	10	24	9999.0000	9999.0	3641.9100	4204.0	9999.0	9999	9999	9999	9999	9999
2000	07	11	24	9999.0000	9999.0	2935.0000	3171.6	9999.0	9999	9999	9999	9999	9999
2000	07	12	24	9999.0000	9999.0	9999.0000	3477.0	9999.0	9999	9999	9999	9999	9999
2000	07	13	24	9999.0000	9999.0	9999.0000	5619.7	9999.0	9999	9999	9999	9999	9999
2000	07	14	24	9999.0000	9999.0	9999.0000	2740.2	9999.0	9999	9999	9999	9999	9999
2000	07	15	24	9999.0000	9999.0	9999.0000	4355.7	9999.0	9999	9999	9999	9999	9999
2000	07	16	24	9999.0000	9999.0	9999.0000	4703.2	9999.0	9999	9999	9999	9999	9999
2000	07	17	24	9999.0000	9999.0	9999.0000	2315.0	9999.0	9999	9999	9999	9999	9999
2000	07	18	24	9999.0000	9999.0	9999.0000	2309.1	9999.0	9999	9999	9999	9999	9999
2000	07	19	24	9999.0000	2679.7	3443.4600	3887.3	9999.0	9999	9999	9999	9999	9999
2000	07	20	24	9999.0000	2920.1	2823.0000	2862.5	9999.0	9999	9999	9999	9999	9999
2000	07	21	24	9999.0000	1595.3	1851.4500	2083.6	9999.0	9999	9999	9999	9999	9999
2000	07	22	24	9999.0000	2971.3	3657.5300	3283.6	9999.0	9999	9999	9999	9999	9999
2000	07	23	24	9999.0000	3852.3	4309.2100	5198.3	9999.0	9999	9999	9999	9999	9999
2000	07	24	24	9999.0000	3776.6	4064.8000	3919.6	9999.0	9999	9999	9999	9999	9999
2000	07	25	24	9999.0000	4860.8	4750.3100	5321.0	9999.0	9999	9999	9999	9999	9999
2000	07	26	24	9999.0000	3813.8	4152.5300	4415.2	9999.0	9999	9999	9999	9999	9999
2000	07	27	24	9999.0000	3809.6	3950.5800	4976.2	9999.0	9999	9999	9999	9999	9999
2000	07	28	24	9999.0000	4565.3	4553.1100	4087.5	9999.0	9999	9999	9999	9999	9999
2000	07	29	24	9999.0000	1075.7	1218.3200	1618.1	9999.0	9999	9999	9999	9999	9999
2000	07	30	24	9999.0000	2794.2	3310.2200	4377.4	9999.0	9999	9999	9999	9999	9999
2000	07	31	24	9999.0000	4277.8	5220.4300	4985.2	9999.0	9999	9999	9999	9999	9999
2000	08	01	24	9999.0000	5481.2	7323.0500	7106.6	9999.0	9999	9999	9999	9999	9999
2000	08	02	24	9999.0000	4287.2	4429.0300	4260.5	9999.0	9999	9999	9999	9999	9999
2000	08	03	24	9999.0000	4585.4	5384.2900	5286.3	9999.0	9999	9999	9999	9999	9999
2000	08	04	24	9999.0000	4720.9	5185.1600	5976.9	9999.0	9999	9999	9999	9999	9999
2000	08	05	24	9999.0000	6650.6	6674.7300	6478.5	9999.0	9999	9999	9999	9999	9999
2000	08	06	24	9999.0000	2026.4	2485.9900	3782.2	9999.0	9999	9999	9999	9999	9999
2000	08	07	24	9999.0000	2812.7	2957.3000	3802.5	9999.0	9999	9999	9999	9999	9999
2000	08	08	24	9999.0000	3057.0	3541.3800	9999.0	9999.0	9999	9999	9999	9999	9999
2000	08	09	24	9999.0000	4068.6	4024.6300	3835.8	9999.0	9999	9999	9999	9999	9999
2000	08	10	24	9999.0000	4080.3	4349.5100	4021.0	9999.0	9999	9999	9999	9999	9999
2000	08	11	24	9999.0000	4982.1	5005.9100	5029.2	9999.0	9999	9999	9999	9999	9999
2000	08	12	24	9999.0000	4818.2	4718.2700	5099.0	9999.0	9999	9999	9999	9999	9999
2000	08	13	24	9999.0000	5852.6	5978.3800	6583.8	9999.0	9999	9999	9999	9999	9999
2000	08	14	24	9999.0000	6166.4	6145.4200	5997.2	9999.0	9999	9999	9999	9999	9999
2000	08	15	24	9999.0000	3907.2	4567.8800	5172.6	9999.0	9999	9999	9999	9999	9999
2000	08	16	24	9999.0000	5810.5	5990.6000	5272.1	9999.0	9999	9999	9999	9999	9999
2000	08	17	24	9999.0000	5896.7	6185.1900	5044.8	9999.0	9999	9999	9999	9999	9999
2000	08	18	24	9999.0000	3173.6	3382.0100	3495.2	9999.0	9999	9999	9999	9999	9999
2000	08	19	24	9999.0000	4299.5	4566.5600	4943.8	9999.0	9999	9999	9999	9999	9999
2000	08	20	24	9999.0000	5817.6	6070.4700	5661.6	9999.0	9999	9999	9999	9999	9999
2000	08	21	24	9999.0000	4832.0	4928.8900	4530.4	9999.0	9999	9999	9999	9999	9999
2000	08	22	24	3832.8460	3392.7	3260.5000	4154.0	9999.0	9999	9999	9999	9999	9999
2000	08	23	24	4577.6980	4518.3	4709.6000	4874.2	9999.0	9999	9999	9999	9999	9999
2000	08	24	24	4822.0150	4532.9	5311.3000	5072.8	9999.0	9999	9999	9999	9999	9999
2000	08	25	24	2685.7900	2428.2	2821.0000	3417.4	9999.0	9999	9999	9999	9999	9999
2000	08	26	24	6268.7860	6057.1	6545.7000	6510.2	9999.0	9999	9999	9999	9999	9999
2000	08	27	24	6175.1590	5921.3	6457.4000	6331.1	9999.0	9999	9999	9999	9999	9999
2000	08	28	24	1644.1314	1443.3	1465.5900	1173.2	9999.0	9999	9999	9999	9999	9999
2000	08	29	24	3123.4480	3189.8	4506.7600	4611.0	9999.0	9999	9999	9999	9999	9999
2000	08	30	24	3217.3500	3187.9	3635.6400	4407.5	9999.0	9999	9999	9999	9999	9999
