Feuchte [%]
2000 07 12 24	9999	71.781	67.208	87.333	9999	9999	84.438	73.121
2000 07 13 24	9999	73.865	64.167	80.167	9999	9999	76.312	70.433
2000 07 14 24	9999	90.312	89.25	96.792	9999	9999	95.704	94.6
2000 07 15 24	9999	83.219	76.458	91.167	9999	9999	92.704	84.263
2000 07 16 24	9999	80.312	72.542	87.917	9999	9999	87.529	77.267
2000 07 17 24	9999	87.219	89.375	96.833	9999	9999	97.438	93.442
2000 07 18 24	9999	75.396	77.625	93.417	9999	92.1	93.183	83.75
2000 07 19 24	9999	79.177	78.5	90.875	9999	92.15	89.229	83.55
2000 07 20 24	9999	76.698	68.583	87.75	9999	89.925	88.033	79.979
2000 07 21 24	9999	84.365	79.458	96.583	9999	96.283	96.242	86.158
2000 07 22 24	9999	85.125	87.625	92.542	9999	94.554	92.329	87.554
2000 07 23 24	9999	74.917	70.458	82.042	9999	85.287	80.796	77.717
2000 07 24 24	9999	77.562	73.792	83.333	9999	82.871	75.429	79.767
2000 07 25 24	9999	75.844	68.167	81.917	9999	83.042	77.142	75.708
2000 07 26 24	9999	77.281	73.958	89.542	9999	90.521	86.817	78.688
2000 07 27 24	9999	80.104	74.083	86	9999	88.588	86.167	81.408
2000 07 28 24	9999	72.521	70.542	84.583	9999	85.821	80.45	76.175
2000 07 29 24	9999	95.615	95.333	97.833	9999	98.312	98.529	95.975
2000 07 30 24	9999	83.99	80.833	92.583	9999	94.979	93.771	86.321
2000 07 31 24	9999	75.604	71.375	82.792	9999	85.529	80.954	77.921
2000 08 01 24	9999	66.281	61.042	70.208	9999	71.871	61.983	67.246
2000 08 02 24	9999	72.792	63.625	79	9999	78.487	70.604	69.562
2000 08 03 24	9999	63.312	58.708	73.917	9999	77.15	71.025	65.396
2000 08 04 24	9999	67.521	58.875	70.958	9999	74.246	66.9	61.946
2000 08 05 24	9999	67.167	61.875	70.375	9999	71.354	64.612	66.167
2000 08 06 24	9999	80.927	77.375	84.25	9999	86.183	79.963	80.329
2000 08 07 24	9999	76.583	72.833	85.958	9999	87.742	86.117	81.079
2000 08 08 24	9999	72.76	68.625	84.25	9999	86.525	81.829	74.046
2000 08 09 24	9999	77	69.375	83.583	9999	86.396	82.229	78.608
2000 08 10 24	9999	77.885	74.333	79.75	9999	80.229	73.104	75.483
2000 08 11 24	9999	76.969	72.083	80.375	9999	84.571	81.475	89.946
2000 08 12 24	9999	70.625	58.333	67.583	9999	71.754	66.125	9999
2000 08 13 24	9999	57.542	51.375	56.458	9999	56.688	47.604	9999
2000 08 14 24	9999	60.75	47.292	55.375	9999	52.096	41.608	33.712
2000 08 15 24	9999	67.344	61.792	68.417	9999	69.371	58.362	55.783
2000 08 16 24	9999	73.479	64.583	74	9999	77.112	71.129	68.283
2000 08 17 24	9999	71.917	62.875	66.458	9999	69.121	60.346	64.088
2000 08 18 24	9999	72.417	70.958	74.042	9999	77.292	68.229	78.062
2000 08 19 24	9999	64.812	57.083	68.083	9999	67.546	57.783	61.754
2000 08 20 24	9999	66.594	67.833	66.667	9999	64.088	58.663	64.775
2000 08 21 24	9999	79.021	80.833	82.583	9999	85.183	83.95	83.054
2000 08 22 24	78.493	85.615	78.333	87.5	9999	89.758	90.771	86.975
2000 08 23 24	77.652	80.052	73.125	77.833	9999	80.358	73.013	77.933
2000 08 24 24	70.573	72.667	67.208	73.167	9999	74.221	65.842	67.554
2000 08 25 24	74.463	74.542	66.667	83.375	9999	84.358	79.096	71.938
2000 08 26 24	65.569	58.667	59.292	71.958	9999	73.629	68.388	69.338
2000 08 27 24	59.24	60.854	54.083	71.667	9999	71.662	63.987	59.508
2000 08 28 24	89.325	90.833	84.542	90.125	9999	88.671	85.254	88.767
2000 08 29 24	74.69	76.427	68.042	73.5	9999	78.158	71.471	74.662
2000 08 30 24	73.444	74.021	72.292	73.75	9999	75.658	68.446	73.221
2000 08 31 24	84.627	85.042	81.292	86.625	9999	87.896	85.896	83.733
2000 09 01 24	84.862	90.948	85.917	81	9999	81.688	78.35	89.508
2000 09 02 24	79.8	75.125	74.625	87.417	9999	87.875	86.679	80.467
2000 09 03 24	95.729	91.812	92.25	97.125	9999	97.192	98.054	95.125
2000 09 04 24	93.608	86.958	93.333	97.333	9999	97.963	98.517	94.754
2000 09 05 24	89.888	83.521	81.458	94.958	9999	95.65	94.638	88
2000 09 06 24	78.279	77.448	74	87.417	9999	88.142	83.838	80.254
2000 09 07 24	92.031	85	84.625	96.5	9999	94.562	97.142	93.013
2000 09 08 24	80.883	80.302	77.333	88.375	9999	88.442	86.758	81.217
2000 09 09 24	76.76	76.229	69.708	79.083	9999	78.546	74.287	72.479
2000 09 10 24	85.308	83.073	78.958	86.125	9999	85.037	80.983	84.579
